Paper,Authors,Affiliation,DOI,Date,Venue,Goal,Research Questions,Key Findings,Future Work,Scope from our taxonomy,SDLC stage from waterfall,Context,Eligibility score
Productivity Assessment of Neural Code Completion,"Albert Ziegler, Eirini Kalliamvakou, Shawn Simister, Ganesh Sittampalam, Alice Li, Andrew Rice, Devon Rifkin, Edward Aftandilian, Ikaliam Narphorium, Hsenag Xalili, Kalliamvakou Ziegler, Sittampalam Simister",Industry,https://doi.org/10.1145/3520312.3534864,2022,MAPS'22,"The goal of this paper is to investigate whether usage measurements of developer interactions with GitHub Copilot can be used to predict perceived productivity as reported by developers, and to provide a deeper dive into variations in acceptance rate over the developer population and over time.",What is the relationship between usage metrics of the GitHub Copilot code completion system and developers' perceived productivity?,"1. Acceptance rate of shown suggestions is a better predictor of perceived productivity than the alternative measures. However, it is beneficial to combine with others to get a fuller picture.
2. The acceptance rate varies significantly over developer population as well as over time","To further explore the analogy between code suggestions in an IDE and a conversation with a chatbot, borrowing ideas from the evaluation of chatbots and natural language text generation.",Impact,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,3.5
Prompt Sapper: A LLM-Empowered Production Tool for Building AI Chains,"Yu Cheng, Jieshan Chen, Qing Huang, Zhenchang Xing, Xiwei Xu, Qinghua Lu","Academia, Industry",https://doi.org/10.1145/3638247,2024,ACM Transactions on Software Engineering and Methodology,The goal of this paper is to systematize the AI chain methodology and develop a visual programming tool called Prompt Sapper that incorporates this methodology and LLM co-pilots to enable non-technical users to develop their own LLM-based AI chain services.,"1. How to support the full life cycle of AI chain development?
2. What is the usefulness of Prompt Sapper?
3. What is the effectiveness of the two LLM-based co-pilots within Prompt Sapper?","1. Authors develop an AI chain integrated development environment (IDE), Prompt Sapper with the aim of advancing the modularity, composability, debuggability, and reusability of AI functionalities
2. The results demonstrate the low entry barrier and practicality of our Prompt Sapper. It can significantly save time for AI chain engineers compared with using traditional IDEs for programming
by alleviating the need to learn various API calls and reducing the time spent searching for online
resource
3. Co-pilots enhance the efficiency and effectiveness of the design phase of AI chain development,
further enhancing the overall utility of our system.","1. To seamlessly integrate AI chain-based services into people’s daily workflows, providing customized work co-pilots","Form, Impact",Unspecified,Professional,3.5
Reading Between the Lines: Modeling User Behavior and Costs in AI-Assisted Programming,"Hussein Mozannar, Gagan Bansal, Adam Fourney, Eric Horvitz","Academia, Industry",https://doi.org/10.1145/3613904.3641936,2024,CHI'24,"The study aims to model and understand user behavior in AI-assisted programming environments, specifically with GitHub Copilot, to identify inefficiencies and support improvements in interface design and interaction metrics.","1. What activities do users undertake in anticipation for, or to trigger a suggestion?
2. What mental processes occur while the suggestions are onscreen, and do people double-check suggestions before or after acceptance?
3. How costly for users are these various new tasks, and which take the most time?","1. CUPS Taxonomy: A novel taxonomy (CodeRec User Programming States - CUPS) categorizes 12 programming states when interacting with Copilot, including verifying suggestions, prompt crafting, and editing code.
2. Time Allocation: Significant time (51.5%) is dedicated to Copilot-specific activities like suggestion verification and prompt crafting, highlighting potential inefficiencies.
3. Behavior Patterns: Frequent deferrals and post-hoc verifications suggest programmers often need additional time to confirm Copilot’s suggestions.","1. Predicting CUPS states: Develop real-time models to predict a programmer’s CUPS state to optimize support during different activities.
2. Assessing Individual Diferences: Explore interventions tailored to different user groups based on experience or usage patterns.
3. Effect of Conditions and Tasks on Behavior: Study behavior changes with different Copilot versions and other AI code tools, especially with varied tasks and programming languages
4. Informing New Metrics: Perform a comparative study with and without Copilot to determine what the system adds or changes",Impact,Unspecified,Professional,4
Significant Productivity Gains through Programming with Large Language Models,"Thomas Weber, Maximilian Brandmaier, Albrecht Schmidt, Sven Mayer",Academia,https://doi.org/10.1145/3661145,2024,Proceedings of the ACM on Human-Computer Interaction Journal,"The goal of this paper is to explore how AI assistance for code generation impacts developer productivity, using a holistic perspective that considers various factors contributing to overall productivity.",1. How do different forms of AI interaction (auto-complete vs. conversational) affect developer productivity and usage patterns?,"1. With either form of interaction, AI assistants provide a strong benefit for developer productivity overall and many of the individual aspects of the SPACE framework
2. The different forms of interaction (auto-complete vs. conversational) lead to distinct usage patterns and strategies by developers. Auto-completion tends to favor short snippets, so presenting concise choices aligns with this usage pattern. In contrast, the chatbot interface is preferred for longer prompts and responses, providing ample space for detailed context.
3. While the AI assistants improve productivity, they do not significantly affect the objective quality of the produced code, though participants tend to overestimate the quality of the AI-generated code.","1. Future studies specifically targeting long-term users may yield further insights. 
2. It may also be interesting to see how development teams with multiple humans and AI assistants collaborate and how both expertise in AI and traditional development change the group dynamics.","Form, Impact, Quality",Unspecified,Professional,3
Slide4N: Creating Presentation Slides from Computational Notebooks with Human-AI Collaboration,"Fengjie Wang, Xuye Liu, Oujing Liu, Ali Neshati, Tengfei Ma, Min Zhu, Jian Zhao","Academia, Industry",https://doi.org/10.1145/3544548.3580753,2023,CHI'23,"This study aims to explore the potential of human-AI collaboration to enhance the slide-creation process from computational notebooks. The paper presents and qualitatively assesses users' experience of Slide4N, an interactive AI assistant designed to help data scientists efficiently generate slides from their notebooks.","design and develop Slide4N
assess the usability of Slide4N in supporting presentation slides creation from computational notebooks.
understand users’ behaviors when creating presentation slides from computational notebooks with Slide4N. 
collect users’ attitudes and feedback on Slide4N’s support for creating presentation slides from computing notebooks.","1. The development of an analytical pipeline that enables interactive and iterative slide creation from computational notebooks using NLP techniques.
2. The creation of a human-AI collaborative tool called Slide4N that assists data scientists in creating presentation slides within the JupyterLab environment. 
3. An evaluation of Slide4N that demonstrates the value of the human-AI collaborative approach and provides design implications for similar tools.","1. Incorporating information from markdown cells and code outputs to generate more comprehensive bullet points.
2. Exploring automatic methods to generate alternative text descriptions for charts and tables on the slides to improve accessibility.
3. Providing better support for structuring the slides, such as allowing users to extract and reuse slide structures from previous presentations.
4. Improving the styling options, such as support for colors, bolding, and font size, to better accommodate formal presentation needs.","Form, Impact",Unspecified,Professional,3.5
Spellburst: A Node-based Interface for Exploratory Creative Coding with Natural Language Prompts,"Tyler Angert, Miroslav Suzara, Jenny Han, Christopher Pondoc, Hariharan Subramonyam","Academia, Industry",https://doi.org/10.1145/3586183.3606719,2023,UIST'23,The goal of the paper is to present a new creativity support tool that integrates natural language prompting and node-based programming to support exploratory creative coding and address the challenges that creative coders face in translating their semantic intents into syntactic code representations.,"1. How can we incorporate generative AI capabilities within current creative programming workfows to support exploratory generative art-making?
2. What are the challenges faced by creative coders in their exploratory workflows, and how can these inform the design of a new creativity support tool?","1. Design considerations for a creative coding system include maintaining fine-grained parameter control, enabling easy manipulation and visibility of parameter values and outputs, offering versioning and tracking of both visual outputs and code, providing AI support tailored to different stages of the creative process, and ensuring the artist retains creative control throughout.
2. Participants engaged in rapid iterations, both fine-grained and large changes, encouraged by Spellburst's affordances, found prompts effective for initiating larger creative shifts due to more expressive natural language, and had mixed opinions on prompts for smaller syntactic variations, with usefulness varying based on their clarity of intent.
3. Evaluation with expert generative artists demonstrates that Spellburst enhances creative practice through rapid exploration while reducing the overhead of managing the exploration process.","1. Improving the handling of errors and unexpected results, especially when merging sketches.
2. Enhancing the mapping between semantic prompts and the resulting syntactic changes in the code to make the system more predictable and less frustrating for users.
3. Exploring multi-modal prompting that can build referential connections between the visual canvas and text-based prompts.
4. Conducting larger and more diverse user studies, as well as exploring a wider range of creative coding tasks and scenarios to better understand the system's capabilities and limitations.","Form, Impact",Unspecified,Professional,3
Taking Flight with Copilot: Early insights and opportunities of AI-powered pair-programming tools,"Christian Bird, Denae Ford, Thomas Zimmermann, Nicole Forsgren, Eirini Kalliamvakou, Travis Lowdermilk, Idan Gazit",Industry,https://doi.org/10.1145/3582083,2023,ACM Queue,"The goal of this publication is to provide early insights and opportunities of AI-powered pair programming tools, specifically focusing on the experiences of developers using GitHub's Copilot tool during its technical preview phase.","What are people using Copilot for? 
How are first-timers engaging with Copilot?
How does Copilot impact productivity?","Participants reported spending less time on Stack Overflow, but now have less of an understanding of how or why the code works. 
Participants accept the suggestion for efficiency but give up a small bit of autonomy/control over the code they’re writing. Observed participants wrestle with this in real time. 
Correlation of 11 usage metrics to perceived productivity. The acceptance rate had the highest positive correlation with aggregate perceived productivity.","Creating the right user experience such that the developer is helped more than hindered.
Finding ways to help developers understand and assess code—and the context within which that code executes and interacts. 
Understand the dynamics between developers and AI-powered tools.
What factors are developers finding important to build trust? 
How does trust get reconstructed after AI-powered developer tools perform in an unexpected manner? 
Does AI-generated code lead to fewer (or more?) build breaks, test failures, or even post-release defects? 
Should AI-generated code have more or less scrutiny during code review? 
What proportion of shipping code comes from tools such as Copilot?","Impact, Other",Coding: In this phase the whole requirements will be converted to the production environment.,Professional,3
The Impact of AI on Developer Productivity: Evidence from GitHub Copilot,"Sida Peng, Eirini Kalliamvakou, Peter Cihon, Mert Demirer",Industry,https://doi.org/10.48550/arXiv.2302.06590,2023,arXiv,The goal of the study is to measure the productivity impact of using the AI tool GitHub Copilot in programming tasks.,1. What is the productivity impact of using GitHub Copilot in programming tasks,"1) The treatment group using GitHub Copilot completed the task 55.8% faster than the control group.
2) Developers with less programming experience, older programmers, and those who program more hours per day benefited the most from using GitHub Copilot.
3) Participants underestimated the productivity gains from using GitHub Copilot, with the actual 55.8% increase being higher than their 35% estimate.","1. Exploring the productivity impacts of other AI tools or generative AI models in different professional contexts beyond software development.
2. Further investigating the heterogeneous effects observed in the study, such as the differential impacts on developers with varying levels of experience, age, and coding hours.
3. Examining the potential of AI-powered tools like GitHub Copilot to expand access to software development careers, particularly for less experienced or older developers.",Impact,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,3.5
The Programmer’s Assistant: Conversational Interaction with a Large Language Model for Software Development,"Steven I Ross, Fernando Martinez, Stephanie Houde, Michael Muller, Justin D Weisz",Industry,https://doi.org/10.1145/3581641.3584037,2023,IUI'23,"The goal of the paper is to explore the utility and receptiveness of conversational interactions with a code-fluent large language model (LLM) for software development tasks, and to provide empirical evidence of the value such a conversational programming assistant can provide.","1) What is the utility of a conversational interaction with a code-fluent large language model for software engineers?
2) How receptive are software engineers to the idea of conversing with, rather than just invoking, a code-fluent AI assistant?","1. Code-fluent LLMs can sufficiently support a conversational programming assistant.
2. Despite an initial level of skepticism, participants felt that a conversational assistant would provide value by improving their productivity.
3. The additional contextual layers of conversational history and the artifact under development provide additional value to the co-creative process.","1) Further developing human-centered AI systems that maximize human-AI collaboration
2) Fine-tuning the language model for better conversational interaction
3) Aligning the language model to be more helpful, honest, and harmless
4) Integrating the language model with additional context from search-based approaches
5) Improving the prompting mechanism, including personalizing the initial prompt based on a user model","Form, Impact",Unspecified,Professional,3.5
The RealHumanEval: Evaluating Large Language Models' Abilities to Support Programmers,"Hussein Mozannar, Valerie Chen, Mohammed Alsobay, Subhro Das, Sebastian Zhao, Dennis Wei, Manish Nagireddy, Prasanna Sattigeri, Ameet Talwalkar, David Sontag","Academia, Industry",https://doi.org/10.48550/arXiv.2404.02806,2024,arXiv,"The goal of the paper is to evaluate large language models (LLMs) for code in a more human-centric way, beyond just static benchmarks, by introducing a web interface called RealHumanEval to measure the ability of LLMs to assist programmers through autocomplete or chat support, and to investigate whether gains on existing benchmarks translate to gains in programmer productivity.","1) Whether improvements in LLM performance on static benchmarks translate to improvements in programmer productivity when using the LLMs.
2) Whether human preference metrics, such as code acceptance or copy rates, are aligned with actual programmer productivity when using the LLMs.","1. Improvements in model performance on static benchmarks like HumanEval and MBPP lead to gains in human productivity, particularly in the time spent completing tasks. This trend holds across both chat and autocomplete interactions.
2. Human preference metrics like acceptance rate of suggestions and likelihood of copying code from chat responses do not correlate with actual programmer performance.
3. The dissimilar findings between benchmarking and human preference metrics highlight the importance of careful evaluation to disentangle which metrics are indicative of downstream performance.","1. Incorporating user feedback to improve LLM-based coding assistants
2. Improving autocomplete and chat-based coding assistants through personalization, dynamic suggestion length, and better dialogue experiences
3. Leveraging the user interaction data collected in the study to improve code LLMs","Form, Impact, Quality",Unspecified,Professional,3.5
The Widening Gap: The Benefits and Harms of Generative AI for Novice Programmers,"James Prather, Brent Reeves, Stephen Macneil, Arisoa S Randrianasolo, Bailey Kimmel, Jared Wright, Ben Briggs, Juho Leinonen, Brett Becker",Academia,https://doi.org/10.1145/3632620.3671116,2024,ICER'24,The goal of this paper is to explore the impact of generative AI (GenAI) tools on the metacognitive awareness and problem-solving abilities of novice programmers.,"RQ1: What benefits do novice programmers receive from using GenAI tools to solve programming problems?
RQ2: What difficulties do novice programmers face while using GenAI tools to solve programming problems?","1. The introduction of generative AI (GenAI) tools like ChatGPT and GitHub Copilot has compounded the previously identified metacognitive difficulties that novice programmers face, and has also introduced new metacognitive difficulties.
2. Students with better grades and higher self-efficacy were more likely to use GenAI tools effectively, while those with lower grades and self-efficacy struggled and developed new metacognitive difficulties.
3.  Several of the participants in this study were able to accelerate to a solution thanks to use of GenAI tools
4. The most common metacognitive difficulty identified was Location, which GenAI often exacerbated, creating an illusion of progress for many participants. Additionally, discovered new metacognitive challenges associated with GenAI use: Progression, Interruption, and Mislead.","1. Exploring the use of automated assessment tools to help novice programmers learn to distinguish between helpful and unhelpful GenAI suggestions.
2. Replicating prior work on using code replays to improve novice metacognition, but applying it in the context of GenAI tools.
3. Explicitly teaching the programming problem solving process to novice programmers to help address the metacognitive issues identified with their use of GenAI tools.",Impact,Unspecified,Educational,3.5
Toward Effective AI Support for Developers: A survey of desires and concerns,"Mansi Khemka, Brian Houck",Industry,https://doi.org/10.1145/3690928,2024,Communications of the ACM,"The goal of this publication is to understand the perspectives and concerns of software developers regarding the integration of AI into their workflows, in order to guide the development and adoption of AI tools in a more informed and effective manner.","1. What aspects of their job would developers be most excited about AI helping with?
2. What worries developers the most about integrating AI into their workflows?","1. Developers are most excited about using AI to automate repetitive tasks such as writing tests and generating documentation.
2. Developers are concerned that AI tools may not be able to handle the complexity and variety of real-world programming, and that AI could introduce defects or vulnerabilities.
3. Developers have some concerns about the potential impact of AI on job security, but this is not a major concern for most.",Not mentioned,Impact,Unspecified,Professional,3
Towards Feature Engineering with Human and AI’s Knowledge: Understanding Data Science Practitioners’ Perceptions in Human&AI-Assisted Feature Engineering Design,"Qian Zhu, Dakuo Wang, April Yi Wang, Udayan Khurana, Xiaojuan Ma, Shuai Ma, Zixin Chen",Academia,https://doi.org/10.1145/3643834.3661517,2024,DIS'24,The goal of this publication is to understand data science practitioners' perceptions and usage patterns when leveraging the combined knowledge of humans and AI for feature engineering (FE).,"1. How do DS practitioners inspect and select features that are generated using human&AI-assisted FE?
2. What are DS practitioners' perceptions and attitudes toward the human&AI-assisted FE?
3. What aspects of a human&AI-assisted FE recommendation system should be considered for improving its usability and user experience?","1. Participants tended to choose features from both humans and AI, keeping a balance between the two.
2. Participants' reliance on the """"Creator"""" (human or AI) of the features influenced their feature selection process, with some strictly basing their selection on the Creator, others using it as a reference, and some disregarding it entirely.
3. Participants perceived differences between human-generated and AI-generated features in terms of explainability, complexity, trustworthiness, and scale.","1. Conducting additional empirical evaluations and user studies to further understand how data science practitioners interact with and perceive the human-AI collaborative feature engineering system.
2. Exploring the impact of the quantity of AI-recommended and human-recommended features on users' perceptions and adoption of the recommendations.
3. Testing the human-AI feature engineering system with a wider range of stakeholders and applying it to various feature engineering tasks.
4. Conducting a long-term study to observe how data science practitioners' behavior patterns and perceptions of the human-AI feature recommendations may change over time as they use the system.",Impact,Unspecified,Professional,4
Towards More Effective AI-Assisted Programming: A Systematic Design Exploration to Improve Visual Studio IntelliCode’s User Experience,"Priyan Vaithilingam, Elena L Glassman, Peter Groenwegen, Sumit Gulwani, Austin Z Henley, Rohan Malpani, David Pugh, Arjun Radhakrishna, Gustavo Soares, Joey Wang, Aaron Yim","Academia, Industry",DOI: 10.1109/ICSE-SEIP58684.2023.00022,2023,ICSE-SEIP'23,The goal of this paper is to explore and design effective inline interfaces for AI-assisted code change suggestions in order to improve their discoverability and usage.,"How can we leverage inline interfaces to effectively show AI-assisted code changes?
RQ1: Do participants notice the suggestions?
RQ2: Do participants understand the proposed suggestions, i.e., which code the system suggests removing and what code it suggests adding?
RQ3: How much effort does it take to evaluate and act on the suggested changes?","1. Inline code suggestions are more discoverable than suggestions presented in a lightbulb menu.
2. Design Principles: Glanceable Suggestions, Juxtaposition of Original and Suggested Code, Simplicity Through Familiarity, Sufficient Visibility for Validation, Snoozability of Suggestions.
3. The field deployment of the inline code suggestion interfaces led to a significant increase in usage, with a 3.5x increase in regular users of the feature.","1. Broaden studies to evaluate design principles in other IDEs.
2. Explore adaptations of inline suggestions for complex, multi-line changes.
3. Refine snooze and frequency-control features to limit user distractions​",Form,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
Transforming Software Development: Evaluating the Efficiency and Challenges of GitHub Copilot in Real-World Projects,"Ruchika Pandey, Prabhat Singh, Raymond Wei, Shaila Shankar",Industry,https://doi.org/10.48550/arXiv.2406.17910,2024,arXiv,"This study evaluates the efficiency gains, areas for improvement, and emerging challenges of using GitHub Copilot, an AI-powered coding assistant.","1. What are the time savings and productivity improvements achieved by using GitHub Copilot across various software development tasks?
2. What are specific scenarios and types of tasks where GitHub Copilot currently struggles or underperforms?","1. Based on models created to approximate the percentage of time spent on different types of tasks in adding a feature in a SaaS product like that used in this study, an efficiency gain of between 26% and 35% could be realized by using GitHub Copilot.
2. GitHub Copilot has limited utility for advanced proprietary code, such as code that implements unique business logic, or where the relevant code is distributed over many files.","1. Fine-tuning the internal codebases could potentially enhance the relevance of the generated code.
2. For future studies, additional tools and approaches can be studied, including Agentic workflows, to identify additional efficiencies that could be achieved to reduce cycle time by using Generative AI-based tools.",Impact,Unspecified,Professional,3
Trust in Generative AI among students: An Exploratory Study,"Matin Amoozadeh, David Daniels, Daye Nam, Aayush Kumar, Stella Chen, Michael Hilton, Srinivasa Sruti,  Ragavan, Mohammad Amin Alipour, Srinivasa Ragavan, Mohammad Amin",Academia,https://doi.org/10.1145/3626252.36308,2024,SIGCSE'24,The goal of this paper is to investigate students' trust in Generative AI (GenAI) and how it impacts their use and perception of these tools for programming tasks.,"RQ1: How extensively do students use GenAI and what are their perceived benefits and drawbacks?
RQ2: How much do students trust GenAI tools?
RQ3: Overall, how do students perceive GenAI in programming?","1. The majority of students have used GenAI for both programming and non-programming tasks, and there was no student that had not heard about GenAI.
2. Students reported varying levels of trust in GenAI, with ~16% expressing distrust, 36% remaining neutral, and 47% reporting trust. There is a statistically significant correlation between trust in GenAI and self-reported improvements in student motivation and confidence in programming.
3. About half of participants lacked trust in GenAI's ability and output, emphasizing the need for human supervision, while around a quarter found GenAI generally helpful, and some believed it aids learning by enhancing concept understanding or clarifying question requirements.","1. Future work must explore whether socio-economic or cultural factors underlie observed differences in beliefs about GenAI’s capabilities.
2. Further investigation is required to elucidate the exact nature of the causation between continuing-generation students' perceptions of confidence in programming and the extent to which GenAI helps them feel motivated and confident.",Impact,Unspecified,Educational,3.5
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,"Jan H Klemmer, Stefan Albert Horstmann, Nikhil Patnaik, Cordelia Ludden, Cordell Burton, Carson Powers, Fabio Massacci, Akond Rahman, Daniel Votipka, Heather Richter, Awais Rashid, Alena Naiakshina, Sascha Fahl",Academia,https://doi.org/10.1145/3658644.3690283,2024,ACM CCS 2024,"The goal of this paper is to investigate how software professionals use AI assistants in secure software development, what security implications and considerations arise, and what impact they foresee on secure software development.","RQ1: How are AI assistants used in software development in the context of security? 
RQ2: What security concerns and considerations are raised with AI assistants’ usage in software development? 
RQ3: What do developers expect AI assistants’ future impact on secure software development will be?","1. AI assistants are widely used for various security-related tasks in software development, such as threat modeling, vulnerability detection, and code generation, in addition to general software development tasks.
2. Despite security concerns, participants continue to use AI assistants due to productivity gains, though they remain skeptical and carefully validate the AI-generated outputs.
3. Participants desire improvements in AI assistant quality, correctness, and security capabilities, as well as more privacy-preserving solutions like self-hosted AI assistants.","1. Study the use of not just AI code assistants, but also general-purpose AI assistants in software development.",Impact,Unspecified,Professional,3.5
Using GitHub Copilot to Solve Simple Programming Problems,Michel Wermelinger,Academia,https://doi.org/10.1145/3545945.3569830,2023,SIGCSE'23,"The goal of the study is to evaluate the performance of GitHub's Copilot AI assistant in solving simple programming problems, generating tests, and explaining code, and to discuss the implications for teaching programming.","1. How does Copilot perform, compared with Davinci, in terms of the correctness and variety of the generated code, tests and explanations?
2. If a suggestion is incorrect, can Copilot be interactively led to a correct one?","1. Copilot performs less well than the Davinci model of OpenAI's Codex in terms of the correctness and variety of the generated code, tests, and explanations.
2. While Copilot can provide a helpful first attempt at solving a problem, students still need strong programming knowledge and skills to spot and fix Copilot's often incorrect suggestions.
3. Copilot's code explanations are mostly low-level and lack important details, so students still need to learn how to write clear, high-level documentation and understand why code doesn't work in order to fix it.","1. Studying how students actually use Copilot in practice, to understand its real-world adoption and impact.
2. Determining Copilot's capabilities and limitations, in order to adapt teaching and assessment to the new reality of AI-powered programming assistants.
3. Exploring new types of programming problems that go beyond simple, well-defined tasks, to better assess and develop students' coding, debugging, and algorithmic thinking skills in the presence of Copilot.","Impact, Quality",Unspecified,Professional,2.5
Validating AI-Generated Code with Live Programming,"Kasra Ferdowsi, Lisa Huang, Michael B James, Nadia Polikarpova, Sorin Lerner",Academia,https://doi.org/10.1145/3613904.3642495,2024,CHI'24,The goal of this paper is to investigate whether Live Programming (LP) can help address the challenge of validating AI-generated code.,"1. How does Live Programming affect over-and under-reliance in validating AI-generated code?
2. How does Live Programming affect validation strategies?
3. How does Live Programming affect the cognitive load of validating AI-generated code?","1. Live Programming (LP) can reduce over-reliance and under-reliance on AI-generated code by lowering the cost of validation through execution.
2. Validation strategies depend on the task characteristics, with participants spending more time examining code in algorithmic tasks and more time inspecting runtime values in API-heavy tasks.
3. Live Programming lowers the cognitive load of validation by execution, but not necessarily debugging, where the cognitive load is dominated by the debugging process itself.","1. Alleviate the burdens that LP places on the user, such as providing complete programs, generating test cases, and highlighting relevant runtime information.
2. Enable debugging and code repair of AI-generated code, creating a tighter feedback loop where users can validate code in LP, request repairs using the runtime information, and then validate the repaired code in LP.",Impact,Unspecified,Professional,4
When to Show a Suggestion? Integrating Human Feedback in AI-Assisted Programming,"Hussein Mozannar, Gagan Bansal, Adam Fourney, Eric Horvitz","Academia, Industry",https://doi.org/10.1609/aaai.v38i9.28878,2024,AAAI'24 Technical Tracks,The goal of this paper is to develop a method called Conditional Suggestion Display from Human Feedback (CDHF) that can selectively display code suggestions from AI-powered code recommendation systems like GitHub Copilot in order to improve programmer productivity.,"1. When should the model inject a suggestion into the IDE?
2. How well the CDHF procedure can make display decisions in a retrospective evaluation
3. Which Suggestion to Show?","1. The authors developed a utility-theoretic framework called Conditional Suggestion Display from Human Feedback (CDHF) to guide decisions about when to display code suggestions to programmers using AI-powered code recommendation systems.
2. Using telemetry data from 535 programmers, the authors showed that CDHF can hide 25% of suggestions that would have been rejected with 95% accuracy, and avoid generating 13% of suggestions.
3. The authors found that incorporating the programmer's latent unobserved state is important for accurately predicting suggestion acceptance.
4. The authors showed that using suggestion acceptance as a reward signal to guide which suggestions to display can lead to lower quality suggestions, indicating an unexpected pitfall.",1. A user study is required to verify whether the method makes programmers more productive.,Quality,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
